Name,Longitude,Latitude
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,67.82525,34.84694
Minaret and Archaeological Remains of Jam,64.51605556,34.39655556
Historic Centres of Berat and Gjirokastra ,20.13333333,40.06944444
Butrint,20.02611111,39.75111111
Al Qala of Beni Hammad,4.78684,35.81844
MZab Valley,3.68333,32.48333
Djmila,5.73667,36.32056
Timgad,6.63333,35.45
Kasbah of Algiers,3.06028,36.78333
Madriu-Perafita-Claror Valley,1.595555556,42.49472222
Los Glaciares National Park,-73.24944,-50
Iguazu National Park,-54.13333333,-25.51805556
"Cueva de las Manos, Ro Pinturas",-70.66666667,-47.15
Ischigualasto Talampaya Natural Parks,-68,-30
Jesuit Block and Estancias of Crdoba,-64.19111,-31.42056
Quebrada de Humahuaca,-65.34886111,-23.19986111
Monasteries of Haghpat and Sanahin,44.71028,41.095
Monastery of Geghard and the Upper Azat Valley,44.79667,40.15889
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,44.29514,40.15931
Kakadu National Park,132.8333333,-12.83333333
Sydney Opera House,151.2152778,-33.85666667
Willandra Lakes Region,143,-34
Lord Howe Island Group,159.0883333,-31.56555556
Gondwana Rainforests of Australia,150.05,-28.25
UluUrUu-Kata TjuUtUa National Park,131,-25.33333333
"Shark Bay, Western Australia",113.4361111,-25.48611111
Fraser Island,153.1333333,-25.21666667
Australian Fossil Mammal Sites (Riversleigh Naracoorte),138.7166667,-19.08333333
Greater Blue Mountains Area,150,-33.7
Purnululu National Park,128.5,-17.5
Royal Exhibition Building and Carlton Gardens,144.9702778,-37.80611111
Australian Convict Sites,150.9944444,-33.37833333
Ningaloo Coast,113.8102778,-22.5625
Historic Centre of the City of Salzburg,13.04333333,47.80055556
Semmering Railway,15.82797222,47.64877778
Palace and Gardens of Schnbrunn,16.31333333,48.18666667
Hallstatt-Dachstein Salzkammergut Cultural Landscape,13.64638889,47.55944444
City of Graz Historic Centre and Schloss Eggenberg,15.39166667,47.07416667
Wachau Cultural Landscape,15.43416667,48.36444444
Historic Centre of Vienna,16.38333333,48.21666667
Walled City of Baku with the Shirvanshahs Palace and Maiden Tower,49.83333333,40.36666667
Gobustan Rock Art Cultural Landscape,49.375,40.125
Qalat al-Bahrain Ancient Harbour and Capital of Dilmun,50.52722222,26.23306
"Pearling, Testimony of an Island Economy",50.61351,26.24128
Historic Mosque City of Bagerhat,89.8,22.66667
Ruins of the Buddhist Vihara at Paharpur,88.98333333,25.03333333
Historic Bridgetown and its Garrison,-59.61388889,13.09666667
Mir Castle Complex,26.47272222,53.45108333
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",26.69139,53.22278
Flemish Bguinages,4.47375,51.03097222
"The Four Lifts on the Canal du Centre and their Environs, La Louvire and Le Roeulx (Hainaut)",4.13722,50.48111
"La Grand-Place, Brussels",4.35242,50.84668
Historic Centre of Brugge,3.22527,51.20891
Major Town Houses of the Architect Victor Horta (Brussels),4.36223,50.82806
Neolithic Flint Mines at Spiennes (Mons),3.97879,50.43077
Notre-Dame Cathedral in Tournai,3.38926,50.60603
Plantin-Moretus House-Workshops-Museum Complex,4.39778,51.21833
Stoclet House,4.416111111,50.835
Major Mining Sites of Wallonia,3.838333333,50.43527778
Belize Barrier Reef Reserve System,-87.05833333,16.75
Royal Palaces of Abomey,1.983333333,7.183333333
City of Potos,-65.75306,-19.58361
Jesuit Missions of the Chiquitos,-60.5,-16
Historic City of Sucre,-65.25917,-19.04306
Tiwanaku Spiritual and Political Centre of the Tiwanaku Culture,-68.67778,-16.55833333
Fuerte de Samaipata,-63.81666667,-18.16666667
Noel Kempff Mercado National Park,-60.86667,-14.26667
Old Bridge Area of the Old City of Mostar,17.81092,43.34812
Mehmed Paa Sokolovi Bridge in Viegrad,19.288025,43.78144444
Tsodilo,21.73333333,-18.75
Okavango Delta,22.9,-19.28333333
Historic Town of Ouro Preto,-43.50555556,-20.38888889
Historic Centre of the Town of Olinda,-34.845,-8.013333333
Historic Centre of Salvador de Bahia,-38.5,-12.96666667
Sanctuary of Bom Jesus do Congonhas,-43.85777778,-20.49972222
Iguau National Park,-54.43333,-25.68333
Brasilia,-47.9,-15.78333
Serra da Capivara National Park,-42.33333333,-8.416666667
Historic Centre of So Lus,-44.3025,-2.514166667
Historic Centre of the Town of Diamantina,-43.6,-18.23333333
Discovery Coast Atlantic Forest Reserves,-39.25,-16.5
Atlantic Forest South-East Reserves,-48,-24.16667
Historic Centre of the Town of Gois,-50.13336,-15.93328
Central Amazon Conservation Complex,-62.00833333,-2.333333333
Pantanal Conservation Area,-57.38333,-17.71667
Brazilian Atlantic Islands Fernando de Noronha and Atol das Rocas Reserves,-32.42511111,-3.857944444
Cerrado Protected Areas Chapada dos Veadeiros and Emas National Parks,-47.68461111,-14.00569444
Rio de Janeiro Carioca Landscapes between the Mountain and the Sea,-43.29138889,-22.94777778
So Francisco Square in the Town of So Cristvo,-37.21,-11.01611111
Boyana Church,23.26666667,42.65
Madara Rider,27.15,43.3
Thracian Tomb of Kazanlak,25.4,42.61666667
Rock-Hewn Churches of Ivanovo,25.96666667,43.71666667
